scenario,label,metric,low_var,high_var,low_t1,high_t1,diff_t1,low_t4,high_t4,diff_t4,low_t8,high_t8,diff_t8,low_t12,high_t12,diff_t12
scenario_02_risk_premium,Local debt risk premium,Inflation,pinf1,pinf2,-0.00435090847528319,-0.00440461340429621,-5.37049290130209e-05,-0.00162068549603411,-0.00166038019666936,-3.9694700635251e-05,3.03919509712092e-05,-3.27145611402901e-05,-6.31065121114993e-05,0.000344407176806172,0.000425322894047842,8.09157172416697e-05
scenario_03_transfer_buffer,Central transfer buffer,Local bond rate,rb1,rb2,-9.66552425769596e-05,-9.66552425769596e-05,0,-0.000173948721016837,-0.000173948721016837,0,-0.000181582318530271,-0.000181582318530271,0,-8.69592607795067e-05,-8.69592607795067e-05,0
scenario_03_transfer_buffer,Central transfer buffer,Central transfer,z1,z2,0.00603642519616823,0.0066438717330929,0.000607446536924669,0.00429499224079023,0.00510392777426619,0.000808935533475955,-8.41444081658427e-05,0.000570449817587332,0.000654594225753174,-0.00109674086111104,-0.000632678673238504,0.000464062187872538
scenario_03_transfer_buffer,Central transfer buffer,Debt service pressure,ds1,ds2,0.00183616491912376,0.00462985256083702,0.00279368764171326,0.000414628956213571,0.00122660842520905,0.000811979468995476,-0.000118654330291328,-5.92607897449485e-05,5.93935405463798e-05,-0.000176717401682154,-0.000260012382595189,-8.32949809130346e-05
scenario_03_transfer_buffer,Central transfer buffer,Fiscal space,fs1,fs2,0.00363666309723382,0.00143919986786423,-0.00219746322936959,0.00361819118936028,0.00358990628481838,-2.82849045419031e-05,-9.12196421321843e-05,0.000485084554332493,0.000576304196464678,-0.000959578023788238,-0.000433347315118751,0.000526230708669487
scenario_03_transfer_buffer,Central transfer buffer,Public investment,ig1,ig2,0.000727226963709873,0.000510604309604715,-0.000216622654105159,0.00117888139378854,0.000909006282707778,-0.000269875111080758,7.55757344401975e-06,-0.000198044501547562,-0.000205602074991582,-0.000156761043562131,-0.000347431359785738,-0.000190670316223607
scenario_03_transfer_buffer,Central transfer buffer,Public capital,kg1,kg2,0.00072722696370997,0.000510604309604812,-0.000216622654105159,0.00437822708434732,0.00335997870083204,-0.00101824838351527,0.00545517488779002,0.00366973482065225,-0.00178544006713777,0.00429897440649274,0.00193634094248774,-0.002362633464005
scenario_03_transfer_buffer,Central transfer buffer,Intermediate output,ym1,ym2,-0.00365896127350107,-0.00378948811327195,-0.000130526839770884,-0.00173922731896581,-0.00185917667982283,-0.000119949360857019,-0.000843324964942105,-0.000927665977294878,-8.43410123527732e-05,-0.000282389939182059,-0.000376043412714355,-9.36534735322958e-05
scenario_03_transfer_buffer,Central transfer buffer,Final output,y1,y2,-0.00361373839386359,-0.00383471099290933,-0.000220972599045743,-0.00168102574005347,-0.00191737825873539,-0.000236352518681926,-0.000806167542844571,-0.000964823399392523,-0.000158655856547951,-0.000253620587538195,-0.00040481276435822,-0.000151192176820025
scenario_03_transfer_buffer,Central transfer buffer,Private investment,inv1,inv2,-0.00153308532543639,-0.00153105918061613,2.0261448202552e-06,-0.00210090535414265,-0.00207464906155258,2.62562925900656e-05,-0.000648680318050932,-0.000608175627079988,4.05046909709439e-05,6.93540287818317e-05,0.000108254243966599,3.89002151847673e-05
scenario_03_transfer_buffer,Central transfer buffer,Labor demand,n1,n2,-0.000775311992851815,-0.000802969848920518,-2.76578560687024e-05,-0.000337805612245723,-0.000358401480134898,-2.05958678891754e-05,-0.000115335337542447,-0.000123876700560313,-8.54136301786657e-06,1.08441855177777e-05,3.09530475638142e-06,-7.74888076139624e-06
scenario_03_transfer_buffer,Central transfer buffer,Real wage,w1,w2,-0.0545247841078615,-0.0550855594620545,-0.000560775354192966,-0.0169022735325144,-0.0171425373821585,-0.000240263849644151,-0.00438202437309254,-0.00443106752624223,-4.9043153149686e-05,-0.00227026559436183,-0.00239248146790061,-0.000122215873538778
scenario_03_transfer_buffer,Central transfer buffer,Consumption,c1,c2,-0.00280788003213706,-0.0028142561218979,-6.37608976084003e-06,-0.000759001779699342,-0.000751735479890603,7.26629980873916e-06,-0.000165044798237646,-0.00015860327076489,6.44152747275584e-06,-0.000166213572757923,-0.000165635648539109,5.77924218814196e-07
