scenario,label,debt_ratio,metric,horizon,low_irf,high_irf,diff_irf
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,6,-7.15152059418411e-05,-7.15152059418411e-05,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,7,-0.000131854169437173,-0.000131854169437173,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,8,-0.000214732379742677,-0.000214732379742677,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,9,-0.000292794335993274,-0.000292794335993385,-1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,10,-0.000351501878431137,-0.000351501878431137,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,11,-0.000385984505580139,-0.000385984505580139,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,12,-0.0003976983896119,-0.0003976983896119,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,13,-0.000391492417709638,-0.000391492417709638,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,14,-0.000373369451969419,-0.000373369451969419,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,15,-0.000349004160586142,-0.000349004160586142,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,16,-0.00032293560826957,-0.00032293560826957,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,17,-0.000298281157203761,-0.00029828115720365,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,18,-0.000276799973840447,-0.000276799973840447,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,19,-0.000259150538889252,-0.000259150538889252,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,20,-0.000245220409142988,-0.000245220409142988,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,21,-0.000234445491078539,-0.000234445491078539,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,22,-0.000226072017710743,-0.000226072017710743,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,23,-0.000219342895178332,-0.000219342895178332,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,24,-0.000213609695379313,-0.000213609695379313,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,25,-0.000208382879605895,-0.000208382879605895,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,26,-0.000203337483828725,-0.000203337483828725,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,27,-0.00019829149266215,-0.00019829149266215,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,28,-0.00019317139370334,-0.00019317139370334,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,29,-0.000187975495827608,-0.000187975495827608,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,30,-0.000182741616189142,-0.000182741616189142,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,31,-0.000177522350413906,-0.000177522350413906,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,32,-0.000172368633487019,-0.000172368633487019,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,33,-0.000167320708767571,-0.000167320708767571,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,34,-0.000162404824129436,-0.000162404824129436,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,35,-0.000157633768435139,-0.000157633768435139,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,36,-0.00015300953749231,-0.00015300953749231,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,37,-0.000148526791755588,-0.000148526791755588,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,38,-0.000144176198421109,-0.000144176198421109,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,39,-0.000139947146784558,-0.000139947146784558,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,40,-0.000135829639295371,-0.000135829639295371,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,1,-0.00430799909285384,-0.00430799909285384,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,2,-0.00315460922026123,-0.00315460922026112,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,3,-0.00222254119372434,-0.00222254119372423,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,4,-0.00148950811671145,-0.00148950811671145,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,5,-0.000932608620064945,-0.000932608620064945,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,6,-0.000526759131124321,-0.000526759131124321,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,7,-0.000245116339587348,-0.000245116339587348,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,8,-6.06848133191118e-05,-6.06848133192228e-05,-1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,9,5.18033284004904e-05,5.18033284002684e-05,-2.22044604925031e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,10,0.000114357564019452,0.000114357564019452,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,11,0.000144830719668532,0.000144830719668532,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,12,0.000156679651908576,0.000156679651908576,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,13,0.000159258771073922,0.000159258771073922,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,14,0.000158458140596895,0.000158458140596895,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,15,0.000157498532572298,0.000157498532572298,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,16,0.000157731965490404,0.000157731965490404,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,17,0.000159346101773261,0.000159346101773261,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,18,0.000161919679262823,0.000161919679262823,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,19,0.000164815657649697,0.000164815657649697,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,20,0.000167425850396086,0.000167425850396086,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,21,0.000169295802893821,0.000169295802893821,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,22,0.000170163813605351,0.000170163813605351,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,23,0.000169946261640685,0.000169946261640685,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,24,0.000168695720009104,0.000168695720009104,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,25,0.000166551094819223,0.000166551094819223,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,26,0.000163691931298837,0.000163691931298837,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,27,0.000160303069878909,0.000160303069878909,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,28,0.000156551448144304,0.000156551448144304,0
