scenario,label,rho_z,psi_z,phi_z_ds,phi_z_b,horizon,z1,z2,b1,b2,debt_ratio1,debt_ratio2,ds1,ds2,fs1,fs2,ig1,ig2,kg1,kg2,y1,y2,c1,c2,pinf1,pinf2,z_gap,debt_ratio_gap,ds_gap,fs_gap,ig_gap,kg_gap,y_gap,c_gap,pinf_gap
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,11,0,0,-0.0500988935803321,-0.04898374761813,-0.050708958814934,-0.048853183529272,-0.000778625804765555,-0.00110923787282621,0.00107749614697,0.00108444388423501,0.00205306785384694,0.000241278225446132,-0.0613199816766472,-0.0777328506983372,0.00152516308650474,-0.000130564088857921,-0.00093461368449177,-0.000852830787726133,0.000709093640669956,0.000692153352313651,0,0.00185577528566201,-0.000330612068060651,6.94773726500619e-06,-0.00181178962840081,-0.01641286902169,-0.00165572717536266,8.17828967656364e-05,-1.69402883563041e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,12,0,0,-0.0479630554488781,-0.04864152437854,-0.0486042962812176,-0.0484290640089442,-0.000626716367662015,-0.00076392033279438,0.000940859603707572,0.000723574323214557,0.00307669773516124,0.00106579756280444,-0.0567102843995699,-0.0747237318680742,0.00160310208084868,-0.000212460369595768,-0.00111796664238095,-0.00105125070889811,0.00046382480858731,0.000449773415921673,0,0.00017523227227341,-0.000137203965132365,-0.000217285280493015,-0.00201090017235681,-0.0180134474685043,-0.00181556245044445,6.67159334828415e-05,-1.40513926656372e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,13,0,0,-0.0450842165889457,-0.0475577887519917,-0.0456812394278584,-0.047120570961326,-0.000498311758169651,-0.000502161002816335,0.000790792643900043,0.000419133786003029,0.00366963150383222,0.00150286941255121,-0.0516228957857487,-0.0713527691588212,0.00149255709728169,-0.000437217790665634,-0.00120605077148561,-0.00115181736934533,0.000259098065841012,0.000254874748475409,0,-0.00143933153346769,-3.84924464668377e-06,-0.000371658857897014,-0.00216676209128101,-0.0197298733730724,-0.00192977488794732,5.42334021402802e-05,-4.22331736560366e-06
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,14,0,0,-0.0418062653167915,-0.0460870140801883,-0.0423184850456228,-0.0453802618273386,-0.000399434003514358,-0.000330216888305437,0.000650369931275582,0.000196005349380399,0.00392832120342941,0.00166678002118373,-0.0464040021876762,-0.0679021699086668,0.00128054932207822,-0.000706752252849774,-0.00121913641204563,-0.00117646554113948,0.000108923839332142,0.000118639943009535,0,-0.00306177678171578,6.92171152089209e-05,-0.000454364581895184,-0.00226154118224568,-0.0214981677209907,-0.00198730157492799,4.26708709061474e-05,9.71610367739295e-06
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,15,0,0,-0.0383877714419262,-0.0444820595808991,-0.038800489647381,-0.0435266178118041,-0.000329110558156823,-0.000237763143059733,0.000531300790122466,5.63257162012332e-05,0.00394979466498742,0.0016612802154904,-0.0412941074679969,-0.0645433354454599,0.00103179551363697,-0.000955441769095011,-0.00118090966702888,-0.00115046355308657,1.35275179058425e-05,3.85232630419896e-05,0,-0.0047261281644231,9.13474150970903e-05,-0.000474975073921233,-0.00228851444949701,-0.023249227977463,-0.00198723728273198,3.04461139423173e-05,2.49957451361471e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,16,0,0,-0.0350057528618953,-0.042901311934923,-0.0353213697382653,-0.0417544944402483,-0.000282472063205192,-0.000206298990273248,0.000437092452134302,-1.14804935640311e-05,0.00381911103216487,0.001569267152412,-0.0364426437491323,-0.0613604849069116,0.000789042190924905,-0.00114681749467471,-0.00111343330703406,-0.00109702611493745,-3.50200592688088e-05,4.32987176401944e-06,0,-0.00643312470198296,7.6173072931944e-05,-0.000448572945698333,-0.00224984387975287,-0.0249178411577793,-0.00193585968559962,1.64071920966125e-05,3.93499310328282e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,17,0,0,-0.0317684353627518,-0.041426396273839,-0.031998940295283,-0.040159064056482,-0.000253134558351452,-0.00021531551181124,0.000366058691965571,-2.53495961313605e-05,0.00360337619110883,0.00144956606495254,-0.0319282014642952,-0.0583769067192863,0.000576262331327904,-0.00126733221735709,-0.00103446100537019,-0.00103449498380248,-4.83110965469047e-05,2.90987591133884e-06,0,-0.00816012376119898,3.78190465402119e-05,-0.000391408288096931,-0.00215381012615629,-0.0264487052549911,-0.00184359454868499,-3.39784322900272e-08,5.12209724582435e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,18,0,0,-0.0287316777518099,-0.0400836423466874,-0.0288929389228646,-0.0387643838013716,-0.000234816336011797,-0.000246237460494068,0.000313818020821796,-4.28840467706082e-06,0.00335057563176341,0.0013384655224746,-0.0277794207959245,-0.0555790185288294,0.000403152927636707,-0.00131925854531578,-0.000956511111885772,-0.000975434448969414,-3.84156909666311e-05,2.13599993532654e-05,0,-0.00987144487850701,-1.14211244822706e-05,-0.000318106425498857,-0.00201211010928881,-0.0277995977329049,-0.00172241147295249,-1.89233370836428e-05,5.97756903198965e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,19,0,0,-0.0259153406233733,-0.0388646766455834,-0.0260232562670644,-0.0375505803277465,-0.000222268175603047,-0.00028446690438101,0.00027513594044197,3.49213409937543e-05,0.0030914730688783,0.00125388704209771,-0.0239934622071485,-0.0529356560235112,0.000269789109227814,-0.00131409631783685,-0.000887104964977126,-0.000926983954086635,-1.5926070068617e-05,4.88768052500088e-05,0,-0.0115273240606821,-6.21987287779627e-05,-0.000240214599448216,-0.00183758602678059,-0.0289421938163628,-0.00158388542706467,-3.98789891095097e-05,6.48028753186258e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,20,0,0,-0.0233173781040329,-0.0377435005011809,-0.0233856650999795,-0.0364762498424763,-0.000211662379203698,-0.000319999776968815,0.000245116109541463,7.93501569319316e-05,0.00284307862888156,0.00120052630133433,-0.0205505470230882,-0.0504117383215887,0.000170717489866412,-0.00126725065870459,-0.000829653598573676,-0.000891897736289726,1.09880310661392e-05,7.75398523502613e-05,0,-0.0130905847424968,-0.000108337397765117,-0.000165765952609531,-0.00164255232754723,-0.0298611912985005,-0.001437968148571,-6.22441377160499e-05,6.65518212841221e-05
