scenario,label,phi_pi,horizon,yagg,pinfagg,r,y1,y2,pinf1,pinf2,y_gap,pinf_gap,abs_y_gap,abs_pinf_gap
hawkish_phi_200,phi_pi = 2.0,2,10,-6.27442316991633e-06,7.26945083306951e-06,-7.90661559935124e-06,-1.45479977076146e-06,-1.10940465690712e-05,6.90581537599044e-06,7.63308629037063e-06,-9.63924679830974e-06,7.27270914380185e-07,9.63924679830974e-06,7.27270914380185e-07
hawkish_phi_200,phi_pi = 2.0,2,11,7.95969925704298e-06,8.18189068874098e-06,-5.38264582705672e-06,1.28401649865939e-05,3.07923352727002e-06,7.99478532997888e-06,8.36899604750307e-06,-9.76093145932388e-06,3.74210717524193e-07,9.76093145932388e-06,3.74210717524193e-07
hawkish_phi_200,phi_pi = 2.0,2,12,1.72084789906712e-05,7.25270746659845e-06,-3.20536479669897e-06,2.26811677810357e-05,1.17357902003068e-05,7.21210006182638e-06,7.29331487114848e-06,-1.09453775807289e-05,8.12148093221055e-08,1.09453775807289e-05,8.12148093221055e-08
hawkish_phi_200,phi_pi = 2.0,2,13,2.21440006042961e-05,5.39456018322504e-06,-1.57134140521542e-06,2.8480034804268e-05,1.58079664045463e-05,5.44824117176823e-06,5.34087919468185e-06,-1.26720683997217e-05,-1.07361977086384e-07,1.26720683997217e-05,1.07361977086384e-07
hawkish_phi_200,phi_pi = 2.0,2,14,2.37856213736176e-05,3.27924337573116e-06,-5.11475053643906e-07,3.10268631382726e-05,1.65443796091846e-05,3.37051989496295e-06,3.1879668567214e-06,-1.4482483529088e-05,-1.82553038241551e-07,1.4482483529088e-05,1.82553038241551e-07
hawkish_phi_200,phi_pi = 2.0,2,15,2.32139796174646e-05,1.33898652188158e-06,4.46594219383201e-08,3.12315267234631e-05,1.51964325114662e-05,1.41859964708502e-06,1.2593733964561e-06,-1.60350942119969e-05,-1.59226250628919e-07,1.60350942119969e-05,1.59226250628919e-07
hawkish_phi_200,phi_pi = 2.0,2,16,2.13895298637468e-05,-1.98626698311166e-07,2.16122731266921e-07,2.99497989089126e-05,1.2829260818803e-05,-1.66197063999896e-07,-2.31056332733459e-07,-1.71205380901096e-05,-6.48592687335636e-08,1.71205380901096e-05,6.48592687335636e-08
hawkish_phi_200,phi_pi = 2.0,2,17,1.90615399302541e-05,-1.2602418504315e-06,1.32456952295357e-07,2.78866048601945e-05,1.02364750000916e-05,-1.29502034451612e-06,-1.22546335623586e-06,-1.76501298601028e-05,6.95569882802616e-08,1.76501298601028e-05,6.95569882802616e-08
hawkish_phi_200,phi_pi = 2.0,2,18,1.67448638594969e-05,-1.87429013021045e-06,-9.02931747148727e-08,2.55597632430327e-05,7.92996447596117e-06,-1.98218854441379e-06,-1.76639171600712e-06,-1.76297987670715e-05,2.15796828406667e-07,1.76297987670715e-05,2.15796828406667e-07
hawkish_phi_200,phi_pi = 2.0,2,19,1.47405869677097e-05,-2.1249841023474e-06,-3.61658756942163e-07,2.33051129892026e-05,6.17606094599488e-06,-2.300944090039e-06,-1.94902411465581e-06,-1.71290520432077e-05,3.51919975383197e-07,1.71290520432077e-05,3.51919975383197e-07
hawkish_phi_200,phi_pi = 2.0,2,20,1.31797022753233e-05,-2.11688979312452e-06,-6.20019079189404e-07,2.13054933857482e-05,5.05391116512044e-06,-2.34865033055254e-06,-1.8851292556965e-06,-1.62515822206277e-05,4.63521074856033e-07,1.62515822206277e-05,4.63521074856033e-07
hawkish_phi_200,phi_pi = 2.0,2,21,1.20739905671297e-05,-1.95098737487687e-06,-8.30196534185035e-07,1.96296488972347e-05,4.51833223680254e-06,-2.22267241800633e-06,-1.6793023317474e-06,-1.51113166604322e-05,5.43370086258932e-07,1.51113166604322e-05,5.43370086258932e-07
hawkish_phi_200,phi_pi = 2.0,2,22,1.13636398397787e-05,-1.7110684671362e-06,-9.78063037448962e-07,1.82713488958708e-05,4.45593078346462e-06,-2.00611984457755e-06,-1.41601708958383e-06,-1.38154181124062e-05,5.90102754993715e-07,1.38154181124062e-05,5.90102754993715e-07
hawkish_phi_200,phi_pi = 2.0,2,23,1.09558872447568e-05,-1.45825943653755e-06,-1.06418907175332e-06,1.71829499107101e-05,4.72882457880353e-06,-1.76151657083068e-06,-1.15500230213339e-06,-1.24541253319066e-05,6.06514268697289e-07,1.24541253319066e-05,6.06514268697289e-07
hawkish_phi_200,phi_pi = 2.0,2,24,1.07526320041185e-05,-1.23115886352387e-06,-1.09787668245431e-06,1.63008088165384e-05,5.20445519169854e-06,-1.53008797476595e-06,-9.32229752170777e-07,-1.10963536248398e-05,5.97858222595171e-07,1.10963536248398e-05,5.97858222595171e-07
hawkish_phi_200,phi_pi = 2.0,2,25,1.06674431863407e-05,-1.04927109312314e-06,-1.09231102118912e-06,1.55622160566971e-05,5.77267031598439e-06,-1.33447053773939e-06,-7.64071648506892e-07,-9.78954574071267e-06,5.70398889232493e-07,9.78954574071267e-06,5.70398889232493e-07
hawkish_phi_200,phi_pi = 2.0,2,26,1.06337877625595e-05,-9.17876333828005e-07,-1.06109748387873e-06,1.49149002985904e-05,6.35267522630656e-06,-1.18304269680625e-06,-6.52709970849763e-07,-8.56222507228388e-06,5.30332725956484e-07,8.56222507228388e-06,5.30332725956484e-07
hawkish_phi_200,phi_pi = 2.0,2,27,1.06068617191646e-05,-8.33025045499092e-07,-1.01613560610225e-06,1.43208152878493e-05,6.89290815070187e-06,-1.07457338704986e-06,-5.91476704059346e-07,-7.42790713714747e-06,4.83096682990514e-07,7.42790713714747e-06,4.83096682990514e-07
hawkish_phi_200,phi_pi = 2.0,2,28,1.05613821510531e-05,-7.85862854235653e-07,-9.66601590102201e-07,1.3756055127212e-05,7.36670917489413e-06,-1.0023718090002e-06,-5.69353899360081e-07,-6.38934595231788e-06,4.33017909640121e-07,6.38934595231788e-06,4.33017909640121e-07
hawkish_phi_200,phi_pi = 2.0,2,29,1.04873328854449e-05,-7.6591664199821e-07,-9.18739410549207e-07,1.32085508561808e-05,7.76611491470902e-06,-9.57530396195061e-07,-5.74302887690337e-07,-5.44243594147176e-06,3.83227508504724e-07,5.44243594147176e-06,3.83227508504724e-07
hawkish_phi_200,phi_pi = 2.0,2,30,1.03851439330338e-05,-7.63278165005765e-07,-8.76162634888544e-07,1.26748428217471e-05,8.09544504432047e-06,-9.31154511940591e-07,-5.95401818181962e-07,-4.57939777742666e-06,3.35752693758629e-07,4.57939777742666e-06,3.35752693758629e-07
hawkish_phi_200,phi_pi = 2.0,2,31,1.02612622148168e-05,-7.69811631107231e-07,-8.40414759339936e-07,1.21568209310308e-05,8.36570349882493e-06,-9.15666155010264e-07,-6.23957107204198e-07,-3.79111743220584e-06,2.91709047806066e-07,3.79111743220584e-06,2.91709047806066e-07
hawkish_phi_200,phi_pi = 2.0,2,32,1.01246197397042e-05,-7.79605148326645e-07,-8.11600386674272e-07,1.16589563012859e-05,8.59028317834465e-06,-9.05370322379362e-07,-6.53839974162906e-07,-3.06867312294123e-06,2.51530348216455e-07,3.06867312294123e-06,2.51530348216455e-07
hawkish_phi_200,phi_pi = 2.0,2,33,9.98416357789189e-06,-7.88908456117454e-07,-7.8896565658404e-07,1.11862539087237e-05,8.782073246838e-06,-8.96504483982596e-07,-6.8131242814129e-07,-2.40418066188575e-06,2.15192055841307e-07,2.40418066188575e-06,2.15192055841307e-07
hawkish_phi_200,phi_pi = 2.0,2,34,9.84738568177157e-06,-7.95776558981665e-07,-7.71363489748822e-07,1.07429495181943e-05,8.95182184557086e-06,-8.86977657543753e-07,-7.04575460308554e-07,-1.79112767262346e-06,1.82402197235199e-07,1.79112767262346e-06,1.82402197235199e-07
