scenario,label,output_ratio,s1,s2,metric,horizon,developed_irf,less_developed_irf,diff_irf
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,19,-0.0239934622071485,-0.0529356560235112,-0.0289421938163628
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,20,-0.0205505470230882,-0.0504117383215887,-0.0298611912985005
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,21,-0.0174242197351622,-0.0479766196428972,-0.0305523999077351
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,22,-0.0145877279152304,-0.0456080878699847,-0.0310203599547543
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,23,-0.0120173025254262,-0.0432932191732736,-0.0312759166478473
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,24,-0.00969323880346851,-0.0410272690132403,-0.0313340302097718
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,25,-0.00759961763449057,-0.0388115893042635,-0.031211971669773
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,26,-0.00572335011084535,-0.0366513024069155,-0.0309279522960701
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,27,-0.00405303607642749,-0.0345532006437459,-0.0305001645673184
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,28,-0.00257794296598313,-0.0325241148972264,-0.0299461719312433
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,29,-0.00128725813923003,-0.0305698258256459,-0.0292825676864159
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,30,-0.000169655813931247,-0.0286944791233119,-0.0285248233093807
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,31,0.000786851669031474,-0.0269004052028659,-0.0276872568718973
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,32,0.00159484531433796,-0.0251882220852031,-0.0267830673995411
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,33,0.00226729170019357,-0.0235571054137176,-0.0258243971139112
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,34,0.00281726809570593,-0.0220051298327619,-0.0248223979284679
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,35,0.00325767765849339,-0.0205296123670715,-0.0237872900255649
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,36,0.00360099388553792,-0.0191274145730476,-0.0227284084585855
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,37,0.00385905638404793,-0.0177951823598481,-0.021654238743896
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,38,0.00404292606349888,-0.0165295188514438,-0.0205724449149427
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,39,0.0041627978792933,-0.0153270963273426,-0.0194898942066359
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,40,0.0042279631944484,-0.0141847189010842,-0.0184126820955326
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,1,-0.000818394437668485,-0.000876249496624654,-5.78550589561688e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,2,7.49000398372057e-05,5.23182200926064e-06,-6.96682178279451e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,3,0.00151508257037788,0.00144978313705785,-6.52994333200374e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,4,0.00281153272726362,0.00275079832556416,-6.07344016994582e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,5,0.00363086054054571,0.00357070112480154,-6.01594157441654e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,6,0.00388514024384712,0.00382460577466379,-6.05344691833321e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,7,0.00363560267152305,0.003579500628415,-5.61020431080472e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,8,0.00301704931925947,0.00297535246930697,-4.1696849952505e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,9,0.0021841174423087,0.00216953831087369,-1.45791314350163e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,10,0.00127753234495842,0.00130255532226867,2.50229773102462e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,11,0.000406708917149445,0.000480988473422012,7.42795562725662e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,12,-0.000355629011931785,-0.000227007223502246,0.000128621788429539
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,13,-0.000971023635065099,-0.000788269833871674,0.000182753801193425
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,14,-0.00142863546930572,-0.00119706673289413,0.000231568736411586
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,15,-0.00173708948432164,-0.00146625843149895,0.00027083105282269
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,16,-0.00191663553420607,-0.00161905853214941,0.000297577002056654
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,17,-0.00199265285441097,-0.00168240329850727,0.000310249555903697
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,18,-0.00199091159224093,-0.00168228961882108,0.000308621973419854
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,19,-0.00193457899467345,-0.001640999405848,0.000293579588825449
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,20,-0.00184270754044166,-0.00157587922374935,0.000266828316692308
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,21,-0.00172983217300871,-0.00149924503201562,0.000230587140993083
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,22,-0.0016062929344397,-0.00141898696242157,0.000187305972018131
